person_age,person_gender,person_education,person_income,person_employment_experience,person_home_ownership,loan_amount,loan_intent,loan_interest_rate,credit_history_length,credit_score,previous_loan_defaults,loan_status
22,female,master,71948.0,0,rent,22500.0,personal,16.02,3.0,561,no,1
21,female,high_school,12282.0,0,own,1000.0,education,11.14,2.0,504,yes,0
25,female,high_school,12438.0,3,mortgage,5500.0,medical,12.87,3.0,635,no,1
23,female,bachelor,79753.0,0,rent,22500.0,medical,15.23,2.0,675,no,1
24,male,master,66135.0,1,rent,22500.0,medical,14.27,4.0,586,no,1
21,female,high_school,12951.0,0,own,2500.0,venture,7.14,2.0,532,no,1
26,female,bachelor,93471.0,1,rent,22500.0,education,12.42,3.0,701,no,1
24,female,high_school,95550.0,5,rent,22500.0,medical,11.11,4.0,585,no,1
24,female,associate,100684.0,3,rent,22500.0,personal,8.9,2.0,544,no,1
21,female,high_school,12739.0,0,own,1600.0,venture,14.74,3.0,640,no,1
22,female,high_school,102985.0,0,rent,22500.0,venture,10.37,4.0,621,no,1
21,female,associate,13113.0,0,own,4500.0,home_improvement,8.63,2.0,651,no,1
23,male,bachelor,114860.0,3,rent,22500.0,venture,7.9,2.0,573,no,1
26,male,master,130713.0,0,rent,22500.0,education,18.39,4.0,708,no,1
23,female,associate,138998.0,0,rent,22500.0,education,7.9,4.0,583,no,0
23,male,bachelor,144943.0,0,rent,22500.0,education,7.9,4.0,663,no,0
23,male,bachelor,136628.0,0,rent,22500.0,debt_consolidation,18.25,4.0,709,no,1
24,female,master,14283.0,1,mortgage,1750.0,education,10.99,2.0,679,no,1
25,male,high_school,162994.25,4,rent,22500.0,personal,16.77,2.0,662,no,0
22,female,master,79255.0,0,rent,22500.0,education,17.58,4.0,691,no,1
24,female,bachelor,13866.0,0,own,1500.0,personal,7.29,3.0,600,yes,0
22,male,bachelor,97420.0,1,rent,22500.0,personal,14.54,4.0,691,no,1
24,female,high_school,82443.0,0,rent,22500.0,home_improvement,12.68,3.0,654,no,1
21,female,associate,14288.0,0,mortgage,4575.0,venture,17.74,3.0,626,no,1
23,male,high_school,14293.0,0,own,1400.0,personal,9.32,3.0,607,no,0
24,female,bachelor,79054.0,1,rent,22500.0,home_improvement,9.99,3.0,700,no,1
21,female,bachelor,14988.0,0,other,4000.0,education,12.84,2.0,553,no,1
21,male,high_school,14858.0,0,own,2000.0,medical,11.12,3.0,589,no,1
25,male,bachelor,144855.0,1,rent,22500.0,venture,6.62,2.0,586,yes,0
26,male,bachelor,114645.0,2,rent,22500.0,home_improvement,14.17,3.0,681,no,1
26,female,associate,162994.25,1,mortgage,7800.0,medical,13.49,4.0,669,no,0
21,male,associate,15150.0,0,own,2500.0,education,7.51,4.0,600,no,1
22,female,bachelor,58868.0,0,rent,22500.0,education,18.39,2.0,606,no,1
24,male,high_school,78026.0,3,rent,22500.0,debt_consolidation,14.54,3.0,582,no,1
25,male,bachelor,90785.0,4,rent,22500.0,home_improvement,16.89,4.0,649,no,1
23,female,high_school,86811.0,0,rent,22500.0,debt_consolidation,11.01,4.0,602,no,1
26,male,bachelor,75503.0,5,rent,22500.0,medical,17.99,2.0,616,no,1
24,female,high_school,15082.0,0,own,2500.0,venture,12.69,3.0,631,no,1
26,male,bachelor,162994.25,5,mortgage,20000.0,venture,7.88,4.0,684,yes,0
26,male,master,162994.25,5,own,10000.0,home_improvement,10.38,4.0,649,no,0
25,female,bachelor,162994.25,2,mortgage,18000.0,home_improvement,16.45,3.0,620,no,0
26,male,bachelor,98230.0,2,rent,22500.0,personal,7.49,3.0,622,no,1
22,female,high_school,80838.0,0,rent,22500.0,medical,12.69,3.0,645,no,1
26,male,master,107957.0,2,rent,22500.0,debt_consolidation,6.62,3.0,654,no,1
24,female,bachelor,94649.0,2,rent,22500.0,debt_consolidation,11.01,4.0,624,no,1
23,male,high_school,94550.0,1,rent,22500.0,debt_consolidation,18.62,3.0,570,no,1
23,male,bachelor,111153.0,3,rent,22500.0,personal,15.23,3.0,648,no,1
23,female,associate,117250.0,0,rent,22500.0,venture,10.65,2.0,652,no,1
25,male,bachelor,144985.0,3,rent,22500.0,education,7.9,4.0,559,no,0
26,male,high_school,162994.25,7,rent,10000.0,personal,15.96,3.0,623,yes,0
26,male,associate,162994.25,2,rent,20000.0,venture,11.48,3.0,602,yes,0
25,male,master,154793.0,1,rent,22500.0,personal,7.29,4.0,573,yes,0
24,male,associate,15229.0,1,own,1750.0,venture,11.01,3.0,631,yes,0
21,female,bachelor,158338.0,0,rent,22500.0,venture,5.99,4.0,623,yes,0
22,female,bachelor,162994.25,0,own,12000.0,venture,11.58,2.0,602,yes,0
26,female,high_school,162994.25,6,mortgage,10000.0,education,11.01,4.0,579,no,1
22,male,master,85191.0,0,rent,22500.0,education,15.99,3.0,700,no,1
22,male,associate,15013.0,0,mortgage,1500.0,education,14.84,3.0,688,no,0
25,female,bachelor,162994.25,0,mortgage,20000.0,home_improvement,14.42,2.0,661,yes,0
24,male,high_school,162994.25,5,mortgage,9600.0,education,6.99,2.0,562,yes,0
25,male,high_school,15162.0,1,own,3000.0,medical,11.01,3.0,564,no,1
22,male,associate,69042.0,0,rent,22500.0,medical,11.01,2.0,598,no,1
